epoch,precision,recall,f1,priority,threshold,val_loss,lr
1,0.402779676463887,0.9995476648196313,0.5741847473041445,0.7710626835094949,0.2799999999999999,0.8900680971700091,1.817520901490367e-08
2,0.5428229982738016,0.924573108673527,0.6840409956076134,0.8105642992416405,0.34999999999999987,0.5889310047550257,3.635041802980734e-08
3,0.6616875252321357,0.9267217007802782,0.7720934614659883,0.8579894022936031,0.29999999999999993,0.43886836856430356,5.452562704471101e-08
4,0.6990070683271625,0.9393870858306005,0.8015631784628745,0.8789360057729717,0.2699999999999999,0.3692624470608872,7.270083605961468e-08
5,0.7335316245297874,0.9482076218477892,0.8271678011245931,0.8957759094932128,0.2799999999999999,0.3252640142603669,9.087604507451835e-08
6,0.7705385039514795,0.9482076218477892,0.850190114068441,0.9064080921861262,0.2799999999999999,0.289401232134984,1.0905125408942202e-07
7,0.8103230814009896,0.9444758566097479,0.8722715404699739,0.9142056503039333,0.2899999999999999,0.2635560413865849,1.2722646310432568e-07
8,0.7956334332833583,0.9601945041275585,0.8702024084037919,0.9220528168169407,0.22999999999999995,0.242641108695331,1.4540167211922936e-07
9,0.8339600237482684,0.9530702250367522,0.8895456224602881,0.9266018712728484,0.22999999999999995,0.22737338283467431,1.6357688113413304e-07
10,0.8416757886356852,0.9564627388895172,0.8954054626296846,0.9310671253864551,0.21999999999999995,0.21561610239536264,1.817520901490367e-07
11,0.852914527333132,0.9580459120208075,0.9024286322965488,0.9349961351519656,0.2799999999999999,0.2038129775373395,1.9992729916394036e-07
12,0.8669532289427899,0.9579328282257152,0.9101751369936607,0.9382406996499704,0.2699999999999999,0.19438112189256868,2.1810250817884404e-07
13,0.8676530612244898,0.9615515096686644,0.9121922437375959,0.941180375101306,0.23999999999999994,0.1884391266029588,2.362777171937477e-07
14,0.8917411888479747,0.958498247201176,0.9239154131240462,0.944359023694813,0.29999999999999993,0.17764043608723684,2.5445292620865135e-07
15,0.8913613939330325,0.9603075879226507,0.9245508982035928,0.9456780753732013,0.30999999999999994,0.17152810881867311,2.7262813522355506e-07
16,0.8930817610062893,0.9634739341852313,0.92694337159332,0.9485215511685194,0.29999999999999993,0.16541290564765765,2.908033442384587e-07
17,0.8968237273874632,0.9642655207508763,0.9293226527164732,0.949977716272924,0.24999999999999992,0.1613036470032882,3.089785532533624e-07
18,0.9030855688686248,0.9631346827999547,0.9321440297690708,0.9504943844592492,0.3799999999999999,0.16040863638180633,3.271537622682661e-07
19,0.9068039486254114,0.966074861472351,0.9355015330705212,0.9536088207310442,0.2799999999999999,0.15060492812352644,3.4532897128316974e-07
20,0.9107541750877566,0.9682234535791021,0.9386099539574655,0.9561566101704517,0.19999999999999996,0.14938551608234818,3.635041802980734e-07
21,0.907897522760957,0.9698066267103924,0.9378314834053256,0.9567584431882482,0.24999999999999992,0.14137316601849054,3.816793893129771e-07
22,0.9097170711031048,0.9708243808662219,0.9392778993435449,0.9579548730585598,0.23999999999999994,0.13889921982339476,3.998545983278807e-07
23,0.9083430017930598,0.9738776433337103,0.9399694389871207,0.9600249683753282,0.2599999999999999,0.13217025030361013,4.1802980734278437e-07
24,0.8968879668049793,0.9777224923668438,0.9355624086998864,0.9604105550810206,0.13999999999999999,0.13553255077364834,4.362050163576881e-07
25,0.9143828340769067,0.9734253081533416,0.942980774497453,0.9610146007024569,0.23999999999999994,0.12802324516070618,4.5438022537259173e-07
26,0.9125977594588882,0.97647857062083,0.9434580715651462,0.962996830679537,0.2899999999999999,0.12515760043116156,4.725554343874954e-07
27,0.9138624338624338,0.9765916544159222,0.9441863007707867,0.9633662020164153,0.29999999999999993,0.12191902601896504,4.907306434023991e-07
28,0.916471838469713,0.9752346488748163,0.9449405577165397,0.9628868721158373,0.17999999999999997,0.12435859918247821,5.089058524173027e-07
29,0.9216501439078989,0.9777224923668438,0.9488586479367866,0.9659687597997394,0.22999999999999995,0.11492205371127226,5.270810614322064e-07
30,0.9268607023950166,0.9759131516453692,0.950754654621571,0.9656916480062935,0.4299999999999998,0.11982403187687661,5.452562704471101e-07
31,0.9274305927752171,0.9784009951373968,0.9522342064714946,0.9677635826429893,0.2599999999999999,0.10868006102405055,5.634314794620137e-07
32,0.9235607675906183,0.9796449168834106,0.9507764912473248,0.967889701182641,0.16999999999999998,0.11165492391744412,5.816066884769174e-07
33,0.9365853658536586,0.9770439895962908,0.9563869825105158,0.9686750209328022,0.29999999999999993,0.10573174786039216,5.99781897491821e-07
34,0.9252186899935994,0.9807757548343322,0.9521875171543064,0.9691369040220895,0.19999999999999996,0.10510572913471003,6.179571065067247e-07
35,0.930567497850387,0.9790794979079498,0.9542073069928914,0.9689766296875292,0.15999999999999998,0.1106147257215885,6.361323155216284e-07
36,0.9304767005891805,0.9822458441705304,0.9556606887446364,0.9714362383447182,0.19999999999999996,0.10075416225062814,6.543075245365322e-07
37,0.9292054325740563,0.9825850955558069,0.9551500494668572,0.9714240973895347,0.18999999999999995,0.09995478126870165,6.724827335514358e-07
