epoch,precision,recall,f1,priority,threshold,val_loss,lr
1,0.943626920579961,0.986203776998756,0.9644456732098424,0.9773837788229379,0.3799999999999999,0.08912972140743203,3.635041802980734e-08
2,0.950578223870827,0.9852991066380188,0.96762729746238,0.9781534848669619,0.3999999999999998,0.08642601455848795,7.270083605961468e-08
3,0.9547948211542682,0.9840551848920049,0.9692042100573592,0.9780605113836984,0.4199999999999998,0.08445918934858339,1.0905125408942203e-07
4,0.944938218079341,0.9858645256134796,0.9649676241075876,0.9773980875494935,0.3699999999999999,0.08759219705690305,1.4540167211922936e-07
5,0.9446790083360398,0.9867691959742169,0.9652654867256637,0.9780537539161568,0.33999999999999986,0.08556235691824884,1.8175209014903672e-07
6,0.9424468199978404,0.9869953635644012,0.964206805125939,0.977751885561296,0.2899999999999999,0.08329572806102332,2.1810250817884406e-07
7,0.9521829521829522,0.9840551848920049,0.9678567456345234,0.9775111749728774,0.3999999999999998,0.08465937890388547,2.544529262086514e-07
8,0.9488685813751088,0.9863168607938483,0.9672303853617965,0.9785925838973133,0.32999999999999985,0.0821452324216384,2.908033442384587e-07
9,0.9371783876500858,0.9885785366956915,0.9621925045402014,0.9778523469291297,0.2699999999999999,0.08372408778780292,3.271537622682661e-07
10,0.9496238141969251,0.9848467714576501,0.9669146219606972,0.9775946817449503,0.3699999999999999,0.08518596205503008,3.6350418029807345e-07
