epoch,precision,recall,f1,priority,threshold,val_loss,lr
41,0.917054099746407,0.981454257604885,0.948161905282132,0.967860645612249,0.35,0.11610498524076,2.48394523203684E-06
42,0.926424981285424,0.979644916883411,0.952291964383863,0.968517315644124,0.37,0.112917136314303,2.54452926208651E-06
43,0.930275032230339,0.979192581703042,0.954107211723872,0.969001788448718,0.4,0.110730685916361,2.60511329213619E-06
44,0.934075434994056,0.977383240981567,0.955238726790451,0.968403359290087,0.43,0.111347658131921,2.66569732218587E-06
45,0.931156696380625,0.980436503449056,0.955161396937314,0.970167623209391,0.35,0.10433666610029,2.72628135223555E-06
46,0.934937419076392,0.979871084473595,0.956877036055436,0.970542112638942,0.35,0.102202048086626,2.78686538228523E-06
47,0.927414197399275,0.983942101096913,0.954842249657064,0.972091877984313,0.33,0.101164530088237,2.84744941233491E-06
48,0.93508450855851,0.98224584417053,0.958085153320097,0.972436799624676,0.32,0.0971414332337634,2.90803344238459E-06
49,0.936147302681167,0.983150514531268,0.959073359073359,0.973376025169693,0.32,0.0964457612636304,2.96861747243427E-06
50,0.930158052114481,0.984959855252742,0.956774866809469,0.973488910663684,0.29,0.0936021418310702,3.02920150248395E-06
51,0.936887452880991,0.983715933506728,0.959730803177405,0.973979441253757,0.37,0.0942802900248099,3.08978553253362E-06
52,0.9442088091354,0.981793508990162,0.962634438407806,0.974039085170109,0.41,0.0945063107998955,3.1503695625833E-06
53,0.935237890666953,0.984733687662558,0.95934780213727,0.974419799652334,0.35,0.0962838922318634,3.21095359263298E-06
54,0.951446733888645,0.98168042519507,0.966327155340346,0.975480940069584,0.41,0.0891925210314586,3.27153762268266E-06
55,0.943606984058128,0.983942101096913,0.963352524357839,0.97560154976278,0.37,0.0914765031910826,3.33212165273234E-06
56,0.939756439271473,0.986090693203664,0.96236618474782,0.976461891292828,0.28,0.0890104149814782,3.39270568278202E-06
57,0.942959194718043,0.985186022842927,0.963610220108395,0.976440786093791,0.3,0.0885424526438095,3.4532897128317E-06
58,0.95101148168398,0.983489765916544,0.966977985323549,0.976817842827917,0.41,0.0869947450240901,3.51387374288138E-06
59,0.937949543746645,0.988013117720231,0.962330653155634,0.977577369432584,0.31,0.0859921606836927,3.57445777293106E-06
60,0.948927365784602,0.985412190433111,0.966825696216576,0.977892490379772,0.38,0.0870599622261537,3.63504180298073E-06
