epoch,precision,recall,f1,priority,accuracy,conf_matrix,threshold,loss,lr
1,0.4060944126867047,0.9961551509668664,0.5769772392336663,0.7718526537207959,0.4129170075447687,"[[  276 12883]
 [   34  8809]]",0.4699999999999998,0.830539867455183,6.05840300496789e-08
2,0.4318998203951307,0.9789664141128576,0.5993699588049988,0.7810921004777336,0.4740023634215071,"[[ 1772 11387]
 [  186  8657]]",0.4799999999999997,0.8157308044475179,1.211680600993578e-07
3,0.470017101561207,0.9634739341852312,0.6318131256952169,0.7962765631168219,0.548677392964276,"[[3552 9607]
 [ 323 8520]]",0.4799999999999997,0.7790224245467852,1.817520901490367e-07
4,0.5772334701968003,0.9220852651814996,0.7100004353694109,0.8236696406686513,0.6972547950186346,"[[7187 5972]
 [ 689 8154]]",0.4899999999999997,0.6971203540993292,2.423361201987156e-07
5,0.5963461123498526,0.9375777451091258,0.7290072979864591,0.8412988305478813,0.7198436505772202,"[[7547 5612]
 [ 552 8291]]",0.4399999999999998,0.5926164444102797,3.0292015024839456e-07
6,0.6308535749638315,0.9368992423385728,0.754004368401893,0.8540356639580543,0.7542950640850832,"[[8311 4848]
 [ 558 8285]]",0.3899999999999999,0.5000421601499236,3.635041802980734e-07
7,0.6560283687943262,0.9414225941422594,0.7732317837737426,0.8660688253351377,0.7780656303972366,"[[8794 4365]
 [ 518 8325]]",0.3799999999999999,0.4434546023433984,4.2408821034775234e-07
8,0.7206349206349206,0.9241207734931584,0.8097904176782441,0.8747216966231766,0.8255158621943459,"[[9991 3168]
 [ 671 8172]]",0.4099999999999998,0.3987213777768057,4.846722403974312e-07
9,0.7487216946676406,0.927287119755739,0.8284920434453145,0.8850703716316841,0.845695845832197,"[[10407  2752]
 [  643  8200]]",0.3899999999999999,0.3618527680722087,5.452562704471102e-07
10,0.7576453301496924,0.9329413095103471,0.8362051489965538,0.8916798144425307,0.8531042632487955,"[[10520  2639]
 [  593  8250]]",0.3399999999999998,0.3291703631105118,6.058403004967891e-07
11,0.7875262254434484,0.9338459798710844,0.8544673806197941,0.900388152533842,0.8721479865466776,"[[10931  2228]
 [  585  8258]]",0.3699999999999999,0.308085813685212,6.664243305464679e-07
12,0.7933275977440015,0.9384824154698632,0.8598217985909656,0.9053520367220768,0.8770111808017453,"[[10997  2162]
 [  544  8299]]",0.3499999999999998,0.2900806006563957,7.270083605961468e-07
13,0.8005949524997601,0.9434581024539184,0.8661752491694352,0.9109470857856228,0.8828288337423871,"[[11081  2078]
 [  500  8343]]",0.3699999999999999,0.2766347766399037,7.875923906458258e-07
14,0.8014923945278867,0.947416035282144,0.8683665008291874,0.9141298395884891,0.8845559494591401,"[[11084  2075]
 [  465  8378]]",0.3199999999999999,0.2608804947934871,8.481764206955047e-07
15,0.8220630091274904,0.9471898676919598,0.880201765447667,0.9192072145282176,0.8963730569948186,"[[11346  1813]
 [  467  8376]]",0.2899999999999999,0.2483743038245065,9.087604507451836e-07
16,0.8281203749383325,0.9491122922085266,0.8844978396037517,0.9221658184790792,0.9003726933915098,"[[11417  1742]
 [  450  8393]]",0.3499999999999998,0.2377345724421185,9.693444807948625e-07
17,0.8334819217434374,0.951487051905462,0.8885837997676629,0.9252864693476544,0.9040996273066084,"[[11478  1681]
 [  429  8414]]",0.3599999999999999,0.2299195998023415,1.0299285108445414e-06
18,0.8553824218352174,0.9497907949790796,0.9001178866145108,0.9292779514489752,0.9152804290519044,"[[11739  1420]
 [  444  8399]]",0.3699999999999999,0.2178267957859261,1.0905125408942205e-06
19,0.858265306122449,0.9511478005201854,0.9023225875663788,0.930997075712304,0.9172347968366512,"[[11770  1389]
 [  432  8411]]",0.4099999999999998,0.2160632878671898,1.1510965709438991e-06
20,0.8650728504001641,0.9534094764220288,0.9070955941685944,0.9343277606385608,0.921507135714935,"[[11844  1315]
 [  412  8431]]",0.3799999999999999,0.2055757345068593,1.2116806009935782e-06
21,0.8668241092514631,0.9546533981680424,0.9086212463674525,0.9356919577163968,0.9228251977092992,"[[11862  1297]
 [  401  8442]]",0.3699999999999999,0.1992613753996962,1.2722646310432571e-06
22,0.8833577866275414,0.9531833088318444,0.9169431601849334,0.9383488423668574,0.9305972184346878,"[[12046  1113]
 [  414  8429]]",0.3399999999999998,0.1897320743152048,1.3328486610929358e-06
23,0.8610381741062412,0.9641524369557842,0.9096825820218724,0.9416000332044038,0.923052449777293,"[[11783  1376]
 [  317  8526]]",0.3399999999999998,0.1875750543116483,1.3934326911426147e-06
24,0.8672422549517521,0.9655094424968902,0.9137414383561644,0.9441139373185226,0.9267339332787928,"[[11852  1307]
 [  305  8538]]",0.3499999999999998,0.1826502144726556,1.4540167211922936e-06
25,0.874245369896654,0.9661879452674432,0.9179200687580577,0.9462841932502664,0.930551768021089,"[[11930  1229]
 [  299  8544]]",0.3699999999999999,0.1784113920293748,1.514600751241973e-06
26,0.8741836734693877,0.9687888725545628,0.9190580915088772,0.9482644094588728,0.9314153258794656,"[[11926  1233]
 [  276  8567]]",0.3399999999999998,0.1710639155231589,1.5751847812916516e-06
27,0.8810209962947715,0.9679972859889178,0.9224634948003664,0.94925478851848,0.934596854831379,"[[12003  1156]
 [  283  8560]]",0.4299999999999998,0.1767372722455928,1.6357688113413305e-06
