epoch,precision,recall,f1,priority,threshold,val_loss,lr
1,0.36866556635491166,0.6820083682008368,0.47861280850726134,0.5829193299989949,0.1,2.7131851871692856,4.544628249409198e-09
2,0.3697408077154913,0.6936559990953296,0.4823654307395903,0.5902390181061927,0.1,2.728272452084131,9.089256498818396e-09
3,0.38189476113547194,0.7485016397150288,0.5057497612225406,0.627940950489461,0.1,2.567314708778678,1.3633884748227597e-08
4,0.3971978021978022,0.8174827547212484,0.5346300336501127,0.6746994670684036,0.1,2.382506613727919,1.8178512997636792e-08
5,0.39693703913783324,0.7913603980549587,0.5286896082801344,0.6601637646301669,0.1,2.143459752981746,2.2723141247045993e-08
6,0.41224963715529755,0.8030080289494516,0.5448058922817247,0.6750384975416891,0.1,1.9009249371931303,2.7267769496455194e-08
7,0.4248061144205912,0.8548004071016624,0.5675564065022337,0.7108866541025822,0.1,1.7435055188184907,3.181239774586439e-08
8,0.43486666287598796,0.8648648648648649,0.5787362845251608,0.7220680121068694,0.1,1.6117800562750808,3.6357025995273584e-08
9,0.4488536155202822,0.8633947755286667,0.5906471202568367,0.7287808761868712,0.1,1.418924291769779,4.0901654244682785e-08
10,0.45443562305833624,0.8932488974329978,0.6024022878932317,0.7486636056851669,0.1,1.3585214179529006,4.5446282494091986e-08
11,0.45897801884099343,0.9090806287459007,0.609985583124668,0.7600166364809829,0.1,1.2968724136630636,4.999091074350119e-08
